,Bios
28,move here recent and love this place half urban half mountain guy devot to the walkabl bikeabl transit rideabl citi and to get out in the wilder to rememb that it exist love this progress free think citi where peopl are activ and polit activ and whimsic and where hear peopl speak dozen languag everi time get coffe get on bart go anywher so far ve been biologist scienc teacher travel an outdoor adventur guid and coupl other thing ll stay the teach rout for the moment while figur out my path in to work on some kind of sustain polici or work for ensur accur scienc educ laugh out loud balanc of thing intellectu and activ and creativ ll geek out over scientif journal then go do some work on sculptur or paint day need some activ time ride bike walk place help out friend or friend of friend with move or fix thing genuin love this need someth use to do with my hand stay in shape and care about be fit so can be healthi and strong enough to do the thing like to do fun driven bright ground comfort with myself hope you are too also grown up you know? emot avail and mental healthi don play hot and cold game or tri too hard to charm you get obsess chase you when you re littl out of reach ll respect you as my equal have two littl sister so well awar lot of men play the charmer politician act and also keep collect of women on string as told my sob heartbroken littlest sis at christma those dude are what they are and they re not gonna chang and don want to be them basic happi to be out here it feel like there so much to explor and love to explor it with someon smart and energet who been here mayb over year and can show me around outdoorsi would be great but it isn requir for date be extrem passion and driven about someth you care about that all
29,told can get along with anyon product of grow up in small town minnesota where if had talk onli to peopl that relat with have gone through my day most mute half kid can fall asleep anywher ani time it gift like puppi may never be too old for impromptu live room danc parti warm sf night is one of my favorit thing it make me feel like ve just stolen someth from natur and gotten away with it offend by the rubik cube never been good at one night stand love to read write and make music have to deliber set time asid for the more quiet and thought pursuit becaus these citi light can be so shini social creatur like be around peopl self deprec humor will get you everywher with me it is difficult to get the news from poetri but peopl die miser everyday for lack of what is found there william carlo william consid myself an actor but haven done it for while also perform in an improv troup for sever year ve let that part of myself be taken over by the to resolv to get it back enjoy fashion and aesthet but they intimid me like crazi realli just on this site to find someon who can keep me from wear holiday sweater big ol npr fan this american life! forgetaboutit mood light johnni walker on the rock and good compani are all want for my birthday the day after howev want to pack picnic and drive up the coast mean tenni player as in pretti good not realli mean
37,let go to festiv and danc all night run and danc with the star we will not rest until our nake bodi have melt away and the awesom beauti of life death and the univers becom so clear after which we will finish that bottl of jameson and hold each other close laugh at our friend and welcom the sunris new day of adventur await am look for mani thing friendship drink hike sport buddi love interest adventur partner busi opportun you name it am social anim and appreci human interact so am alway interest in meet new peopl regardless of who or what they are in practic and in manner seem like quit the typic guy love to drink beer play sport listen to regga dubstep and hip hop and enjoy beach full of bikini clad women as much as anyon howev yes can also be bisexu swing polyamor and debaucher individu but that is just part of me and all that realli mean anyway is open mind have alway fulli imagin marri and have kid one day but open to whatev life may bring while am secret and total hopeless romant am not tri to rush in to thing or grow up too fast strive in my daili life to be relax and down to earth but still adventur tri not to take the day to day of life too serious note on bisexu for you hetero normat folk do not be afraid of the term bisexu it is just term and veri limit one at that am just as heterosexu as straight man am just as homosexu as gay man and just becaus may be bisexu and perhap polyamor doe not mean that am unabl to be in happi commit and fulfil relationship with singl partner in fact such an arrang has been my norm
54,okay long overdu to give this an honest shot done the normal routin and have found decent long term relationship but have yet to find the right one not look for game or ridicul drama pretti straight forward guy that valu honesti and good communic when find the right person veri devot and sincer and hope to find the same in partner as for who am enjoy anyth from various physic activ to zone out in front of good movi to explor some previous unexplor land or just an unexplor road like cook or bake when have someon to share that with and realli up for tri most new thing valu intellig and insight convers love when meet someon who is passion about subject know littl about happi debat almost anyth even if it mean play devil advoc critic thought and logic are big part of how ve grown up and defin myself and my belief and then of cours also need to be abl to let my guard down and have fun make bad joke or indulg in some offhand sarcasm to be abl to let the littl kid out who is fascin poke around in tide pool and also amus by the jelli bean dispens that poop the candi that what keep life fun and beauti last think have to say is along with not care for game have no need for convent and am veri open mind feel free to contact me if simpli haven manag to notic you yet if you re so inclin it flatter and big plus in my book when someon can admit what they re intrigu by hope to hear from you alex
110,grew up in seattl and mexico citi and therefor enjoy both outdoor activ and citi life this upbring fuel my love of travel costa rica most recent and for food and wine from around the world grew up with wonder famili of artist and teacher so have passion for learn and all thing creativ profession work in the area of intern and public affair start my career as polit speechwrit in and have sinc focus on start educ program and fundrais for charit organ help other and be activ in the communiti are import valu and set ambiti goal for myself in these area in this regard look for woman who is similar driven and want to make the world better place my idea of heaven is sit at sidewalk cafe on warm summer even share great food wine and convers with woman ador love spend time with famili my sister is one of my closest friend and appreci make friend everywher go look for partner who also like be social and find posit qualiti in other enjoy long distanc run tenni yoga and most team sport play on kickbal team dure the summer also spend my time go to watch music and live theater big fan of discov and support local musician and artist some of my hobbi includ play music salsa danc and photographi look for an attract confid woman who love great convers be activ and sampl cuisin from all over the world posit person who enjoy learn and alway see the glass as full bonus point for artist use of sarcasm and the curios to tri new thing
132,me work for myself consult on design and art project it keep me busi and happi and creativ fun adventur have great sens of humor and love to tri new thing love to laugh passion and love curious constant learn and explor and challeng myself to grow in new way kind sweet care and friend take me to the mountain with pack or take me to fun costum parti with the weirdest peopl you know and ll do fine in either scenario rather intrepid and talent at handl ambigu that way young at heart and lifestyl while my chronolog age has me at 43 live life without age as variabl while like peopl who have some experi and wisdom under their belt also like those same peopl to live life with the starri eye wonder of their youth young at heart and strive to live life fearless and with gusto intrepid travel ve travel extens all over but asia and that next ve live studi abroad and take great pleasur in learn new thing and meet differ kind of peopl love good food mean healthi and creativ music make art philosophi permacultur the ocean and the parrot that fli over my porch revolutionari tend to be drawn to subcultur or other subvers movement ve got rebel in me that want to make the world better place one practic and one day at time into local food communiti art and social innov have been to burningman the last 10 yrs and other fun summer festiv howev am start to outgrow this express and look for the next ??? in no way mainstream though don go out of my way to look cool part that said great dresser too jane of all trade have work as book design high tech design artist massag therapist and philosophi student throw in visual media printmak paint sculptur also garden and sound heal like alot of freedom in my relationship requir honesti and respect on all level includ with and for myself and hold myself to high standard of integr veri sensual and like alot of physic and verbal affect sexi banter turn me on dyi crafti alt lifestyl kinda gal bike book yoga hike activ communiti friend and music art
228,note have updat my profil to reflect the fact that will be move to san francisco on august 1st 2012 present live in mountain view so it is not much of hike to meet new folk in the citi as it stand alreadi standard profil begin now am hopeless romant realli tri to believ the best in everyon and hope for the best in myself regular tell peopl am the luckiest person know use 1980 phrase like keen rad and badass and am told have rather peculiar vernacular realli enjoy talk in fact if am nervous talk even more realli love useless but interest trivia ador travel and take risk as much as possibl enjoy the rush get by be pull out of my comfort zone as well my favorit place have visit are pari dubrovnik sicili and hong kong have live in richmond va baltimor md right outsid of dc gaithersburg and now silicon valley am actual an introvert but be in high end sale and acquisit for year have learn how to carri on engag convers with practic anyon so most peopl actual think am super extrovert sarcasm is critic part of my life and great valu wit and clever enjoy creativ swear anyon can say shit but misanthrop fuck tard is lot more amus and most like more appropri am fascin by robot museum and multi hour convers my favorit video game are galaga and mario kart 64 love roller coaster and peopl who smile all of the time can be veri easili convinc to go see or do someth just becaus it weird or new have dark auburn hair am left hand and am an onli child have been in the bay area for about month and on the rare occas have drink at bar it is typic doubl shot of well tequila on the rock no lime or salt am veri easili distract by shini object and think am total awesom sauc
234,like to think pretti normal guy not extraordinari in ani way but love ordinari it get such bad rap in my opinion my life realli simpl and honest not that interest it doe not take much to make me happi design it basic mean that give lot of thought and care to what thing are whi they are how they look and the relationship between all those it also mean veri visual person love movi love everyth about film still love the experi of go to and watch in old theatr hate that like old film or foreign film is interpret as snobbi feel like there so mani great movi haven seen yet so realli into older stuff but also down for new releas too love travel tri to get out of the as often as possibl enjoy break my daili routin and be out of my element it forc you think think about everyth taken for grant in may 2010 spent my month long sabbat all over japan ve also been to thailand vietnam scotland and briefli to various spot around europ want to be healthi more and more it seem like the most import thing sinc hit mileston birthday ve tri to chang my lifestyl and behav more health conscious actual eat breakfast still have hard time with this one eat more veggi and less meat love my pork run not near as much as should get to bed earlier love my sleep
267,hope you re pinch uniqu and have curios about the world appreci creativ punctual find the good in thing understand that muscl are meant to be use good food is meant to be eaten and welp strive to be the kind of person dog think their owner are and if you slip onc in awhile? that ok too scientist and ve taken new job that has me situat in the lower 48 new to the bay area and onlin date much of my job is run around in littl boat map the seafloor creat nautic chart respond to whatev ruffl up the water or lurk underneath threaten safe navig too realli like water and am thank to live near it work on it and play over under insid out of it didn take the usual rout in life journeyman ve been bunch of place enjoy few adventur been there and back again am proud that not wishi washi guy that talk about what he would like to do what could be what over the rainbow nope get it done am ve paid my due work my way through school for comput scienc degre and then top it off with some graduat work in remot sens after colleg prompt tough it up in alaska for ten year work in the field three of which live off the grid in float cabin and anoth four serv aboard 321 foot ship conduct hydrograph survey end up work profession respons for expens thing and trust with the safeti of other my friend tell me to mention that can ride unicycl and juggl at the same time they say girl dig that but my circustri is deepli person thing like mayb someth might do on the fourth date last grew up with artist parent who encourag creativ to this day appreci the simpl joy of make thing draw lot most cartoon ve drawn hundr of them most publish in odd rural alaskan paper or scientif journal make music too but not veri well basic understand creativ is big part of life and frivol joy express is just as import as all the serious scientif mumbo jumbo surround myself with daili if you ve read this far hope you ll go littl further and make an introduct feel like time wast and there so much more to do! let chat soon
278,hi there will do my best here to offer you snapshot or perhap even zoom in view of myself and my world do this know that there is no substitut for what happen in real life you know like when two peopl are close enough to actual sens each other do know that engag in live two way convers feel much more real to me than describ myself to you this way but here goe my friend describ me as passion play express and adventur all about my next adventur and have big appetit for life aim for combin of routin and spontan in my day to day fortun to poss natur buoyanc toward life ve cultiv that by be pretti vigil about watch my mind and not necessarili believ the stori it like to generat there often quit gap between stori and realiti as byron kati like to say realiti is alway kinder than the stori we tell ourselv about it get along great with kid becaus still have lot of kid left insid me but have also graduat to full adult hood pay my bill on time and don make too mani mess in life well mayb some intent one like when finger paint with chocol pud if like someth more is good if not there plenti els to tri love be girl and all that it entail whether that mean dress up for special event or have full access to my emot wouldn trade it have reason to dress up is big pleasur also like day in my pj everi now and then especi enjoy the uniqu polar of masculin and feminin it such rich and uniqu alchemi what drawn to in man is his quiet confid and his depth of presenc someon who comfort enough in himself that he doe not need to pretend postur or impress but can simpli be the man that he is secur enough that when he feel someth he can share it honest at home in his bodi and natur affection extra plus if you re familiar with tantra and or taoist practic my vision for my next relationship is one that is veri dynam engag and lot of fun drawn to connect with those who are relat free from the residu of their past so are free to live act and make decis from today we all have shadow and one of it favorit place to show itself is in deeper relationship but when there is space to welcom that and even curios about it find it move along pretti quick keep discov that what matter most is less about what get than how contribut and strive to have posit impact whenev can definit an extrovert sinc realli enjoy peopl also need some down time to hang with myself although love children probabl not look to have ani but sure like play with them wouldn rule out relationship with you if you re dad so long as you ve also got time and space for anoth signific relationship in your life
