,Bios
0,about me would love to think that was some some kind of intellectu either the dumbest smart guy or the smartest dumb guy cannot say can tell the differ love to talk about idea and concept forg odd metaphor instead of recit clich like the simular between friend of mine hous and an underwat salt mine my favorit word is salt by the way weird choic know to me most thing in life are better as metaphor seek to make myself littl better everyday in some product lazi way got tire of tie my shoe consid hire five year old but would probabl have to tie both of our shoe decid to onli wear leather shoe dress shoe about you you love to have realli serious realli deep convers about realli silli stuff you have to be will to snap me out of light heart rant with kiss you don have to be funni but you have to be abl to make me laugh you should be abl to bend spoon with your mind and telepath make me smile while am still at work you should love life and be cool with just let the wind blow extra point for read all this and guess my favorit video game no hint given yet and last you have good attent span
2,not asham of much but write public text on an onlin date site make me pleasant uncomfort ll tri to be as earnest as possibl in the nobl endeavor of stand nake befor the world ve live in san francisco for 15 year and both love it and find myself frustrat with it deficit lot of great friend and acquaint which increas my apprehens to put anyth on this site but feel like meet some new peopl that aren just friend of friend it okay if you are friend of friend too chanc are if you make it through the complex filter process of multipl choic question lifestyl statist photo scan and these indulg blurb of text without move quick on to anoth search result you are probabl alreadi cultur peer and at most peopl remov at first thought should say as littl as possibl here to avoid you but that seem silli as far as cultur goe definit more on the weird side of the spectrum but don exact wear it on my sleev onc you get me talk it will probabl becom increas appar that while like to think of myself as just like everybodi els and by some definit certain am most peopl don see me that way that fine with me most of the peopl find myself gravit toward are pretti weird themselv you probabl are too
10,updat see someon so off the market have blue eye live in the mission love to laugh and make peopl smile social liber honesti impress me not fan of lie unless it involv soft grass or bed ve heard that lot of gent on the cupid lie about exagger their height am in fact 10 for whatev that worth love femal energi am endless fascin by women and the best thing about okc is that get to meet independ and interest girl that would never have encount in my daili life veri comfort to be around and have fun help peopl overcom problem or gain fresh insight into their person favorit spirit singl malt scotch go to drink jack&cok favorit beer kostritz hoegaarden beer more like to actual be drink pabst tecat miller with breakfast irish coffe person type enfj
11,was born in wisconsin grew up in iowa and move to california three year ago for combin of work opportun and just want to live in sf it took me coupl year to get to the peninsula but glad eventu got here passion about peopl and have wide varieti of interest and talent also continu learn about myself for exampl learn veri recent that as result of spend all my time grow up in colleg and for the last five year focus on grow my deep relationship skill not as good as previous thought at initi friendship relationship guess that isn all bad thing sinc the first impress thing onli realli happen onc with each person as result love my friend ve got lot of deep friendship and know how much richer friendship can get as it get deeper passion about music play the guitar write song less now than befor write play more now than befor want to learn french and asl am pretti good for an amateur ballroom dancer can do almost everyth moder well serious no joke love bright tie and shoe am jacket and jean person and absolut love figur out how peopl tick think pretti cool and wish more peopl would be patient enough to take the time to see that everi friend ve ever had say noth like anyon els so don come off like anyon els my own person and proud of that
16,just move to the bay area from austin tx origin from louisiana do audio program for video game and just start at game studio out here yes am bit of nerdi programm but don have it stamp across my forehead don even realli play video game all that often actual creat play music way more often in my spare time start new life here in ca and realli excit about it onli knew one person in this area when move here but wasn worri alway make friend pretti quick in everi citi ve live ve made at least few life long friend definit look to do the same thing here veri easi to get along with kind of person alway tri to avoid over complic have no time for bullshit and would expect the same from anyon close to and or respect veri much into do thing outsid and live healthi fit lifestyl realli look forward to do some camp backpack bike etc in ca also realli enjoy go out for nice meal and some tasti cocktail or beer or do the music nightlif thing dj drum bass from time to time and ve alreadi land few gig in the bay area veri much involv in dnb and other electron genr but love live music just as much basic life to me is about work hard and play hard ve made lot of sacrific and invest much effort to get myself into an industri where those two can often overlap which is someth fair proud of myself for ve learn lot of cool stuff so far and plan to continu do that pretti excit to see where that will take me
19,reloc to san francisco half year ago that was an awesom few month that let me explor the divers part of the citi find gorgeous victorian hous to live in meet my awesom roommat who becam my best friend find my first american emot soul mate ride hot european wheel on the hilli street of san francisco and the wind road to stinson beach swim in the freez water of the bay walk the ocean beach at full moon on warm starri night experi the great outdoor hike and cross countri ski fall in love with the local divers and open abund of cuisin and embrac of activ lifestyl this is the most awesom citi to live in and one where you can loos yourself in continu chase of newelti and adventur and the peopl around will onli support you in that amaz run for new experi have been absorb this atmospher for the past six month final revel in the clam that find insid me onc again like you mayb and so mani bright peopl here ve come to embrac this citi as home and begin to stabil and live well pace life with time for person and profession growth fun with close friend sport that keep the balanc of my bodi and mind and with the time to ponder and reflect on my way through life
23,here complet fake summari wrote while feel coy like natur you know like plant stick stuff like that if like girl ll do special thing for her like might wear do rag or mayb spray paint her car littl thing if realli crushin on girl ll light some incens put on my fanci robe and sing her kid rock song while cook us some hamburg helper ok for real now bit clumsi but an expert at silli danc grew up in ghost town and like live simpli enjoy subtleti creativ nostalgia and quaint old fashion thing make mistak but alway tri to do the right thing am not rich man but ve got heart of gold am honest good natur and the bee knee
25,hey to all hope all is well and your have great summer! ve been in denver and would not be back till the 12th or so talk to you then am current work as graphic design focus on market and advertis graduat from the univers of colorado at boulder class of 07 am humbl energet will optimist honest and have lot of gratitud live for today and in the moment and that is import to me believ in succcess without step on toe am posit and strive to be the best can be posit and humor are key for me laughter is my specialti am look to meet new friend and possibl someth more have no expect but keep my eye open for that special girl to see where it goe consid myself to be gentleman but child at heart with lot of energy! don mean in an immatur way just lot of fun and down to do anyth was rais in good famili have been lucki enough to travel around the world and plan on keep that up enjoy japanes cultur oahu beauti ocean north shore waimea bay pipelin kailua makapu sandi music!!! have my dog by my side stay in and watch movi date sweetheart my ipad and iphon dine travel snowboard fli fish camp watch pro sport aimless run around the citi watch movi in bed take you to the drive rang surf with my older brother cycl go to show in the citi and go out with friend
32,much more to add but this is start am mixtur of silli and serious but the most import thing to me is genuineness! don believ in alway take life serious as there is much to laugh at in our daili rat race! ve been told by mani that have veri adapt person so can mesh with mani type of peopl also that they find it almost imposs to have surfac convers with me like to make thing fun bore is strict prohibit from my vocabulari the type of girl who tri to make the best of everi situat even the frustrat one love everyth from curl up on the couch to movi to stay out all night in vega to camp hike in yosemit to play pool dart in dive bar nice bar are okay too to long drive with the top down to relax day at an art museum to night out at concert play danc to sun shine down on me at the beach on the deck at sam in tiburon anywher near water and absolut love ride my bike am veri passion about travel and am explor enough to go by myself to other countri without reserv have lot more ground to cover but ve been to costa rica 4x peru chile ecuador jamaica canada mexico shame been to cabo time lol realli love to go to brazil next but it may be germani franc sinc have place to stay
34,grew up near sacramento move to sf for school and stay here onc got job after graduat so except for bit of travel ve live on northern california all my life hope to explor some of the other place on my long list of citi like to live in but in the meantim love it here in san francisco enjoy artist creativ thing and like go to museum and concert big passion of mine is storytel love movi book and tv that have good stori and charact discuss all these thing is almost as much fun as consum them make my humbl contribut to visual storytel through the occasion bit of anim short film and photographi big do it yourself and like work with my hand would rather fix it myself than call someon to fix it this usual doe not end in disast introvert and sometim littl too shi but underneath that pretti bright and witti an understand and appreci of sarcasm and smart sens of humor are pluse
38,whi hello there entertain the thought that could come across someon just as equal rad bodaci and fun who blow my mind and our exchang develop into someth too good for word riot with good heart oakland made me the east bay rais me live in vega the silicon valley catapult my career and now am plant seed in sf near ish my home in walnut creek ve learn enough of my mother nativ lingo to find my way back to the beach and enough exot languag to fall in love visual soul vocalist believ in explor passion posit action and celebr often know when to fold and when to rais set my own standard well love by my divers famili and friend have no enemi but time entj love danc and how sexi you look in fedora and dark shade love me some super high heel just as much as my daisi duke and rug boot when rough it with my dog love to explor so pack yer bag darlin or keep one next to mine in the trunk resili and direct becaus ve been there learn that and trust you have too with deeper instinct choos man who compel my strength who doe not doubt my courag or my tough who doe not believ me naiv or innoc who has the courag to treat me like woman anai nin
